book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Harry Potter and the Half-Blood Prince,isbn not found,isbn13 not found,B0056T1OH8,2005.0,J.K. Rowling,652,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Audiobook', 'Childrens', 'Adventure']",3531552,4.58,"{'5 Stars': 2409937, '4 Stars': 830160, '3 Stars': 234384, '2 Stars': 38068, '1 Star': 19003}"
Interred with Their Bones,0525949704,9780525949701,0525949704,2007.0,Jennifer Lee Carrell,432,"['Mystery', 'Fiction', 'Historical Fiction', 'Thriller', 'Mystery Thriller', 'Crime', 'Adventure']",7933,3.43,"{'5 Stars': 1330, '4 Stars': 2486, '3 Stars': 2702, '2 Stars': 1095, '1 Star': 320}"
The Magic Goes Away,0441515460,9780441515462,0441515460,1978.0,Larry Niven,212,"['Fantasy', 'Science Fiction', 'Fiction', 'Novels', 'Science Fiction Fantasy', 'Adventure', 'Speculative Fiction']",1806,3.66,"{'5 Stars': 367, '4 Stars': 654, '3 Stars': 613, '2 Stars': 150, '1 Star': 22}"
The Paradox Men,0450029964,9780450029967,0450029964,1949.0,Charles L. Harness,159,"['Science Fiction', 'Fiction', 'Time Travel', 'Space Opera', 'Science Fiction Fantasy', 'Novels', 'Adventure']",395,3.64,"{'5 Stars': 77, '4 Stars': 152, '3 Stars': 119, '2 Stars': 39, '1 Star': 8}"
The Emperor's Edge,isbn not found,isbn13 not found,B0DWTQQBQD,2010.0,Lindsay Buroker,324,"['Fantasy', 'Steampunk', 'Fiction', 'Adventure', 'Mystery', 'Magic', 'Romance']",15741,4.05,"{'5 Stars': 5909, '4 Stars': 5967, '3 Stars': 2879, '2 Stars': 710, '1 Star': 276}"
The Battle of Chibi,1453751858,9781453751855,1453751858,2010.0,Hock G. Tjoa,332,"['China', 'Classics', 'Adventure']",45,4.09,"{'5 Stars': 11, '4 Stars': 27, '3 Stars': 7, '2 Stars': 0, '1 Star': 0}"
Fallen Angels,0743435826,9780743435826,0743435826,1991.0,Larry Niven,368,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Fantasy', 'Adventure', 'Space', 'Technology']",2386,3.55,"{'5 Stars': 481, '4 Stars': 764, '3 Stars': 811, '2 Stars': 244, '1 Star': 86}"
Comet in Moominland,0713628278,9780713628272,0713628278,1946.0,Tove Jansson,192,"['Fantasy', 'Fiction', 'Childrens', 'Classics', 'Finnish Literature', 'Middle Grade', 'Adventure']",21457,4.24,"{'5 Stars': 9723, '4 Stars': 8127, '3 Stars': 2917, '2 Stars': 500, '1 Star': 190}"
Epic,0670061794,9780670061792,0670061794,2004.0,Conor Kostick,384,"['Fantasy', 'Science Fiction', 'Young Adult', 'Dystopia', 'Fiction', 'Adventure', 'Teen']",6775,3.96,"{'5 Stars': 2514, '4 Stars': 2268, '3 Stars': 1386, '2 Stars': 440, '1 Star': 167}"
A Strange Manuscript found in a Copper Cylinder,0773521674,9780773521674,0773521674,1888.0,James De Mille,460,"['Science Fiction', 'Fantasy', 'Fiction', 'Classics', 'Adventure', 'Canada', '19th Century']",956,3.29,"{'5 Stars': 121, '4 Stars': 268, '3 Stars': 374, '2 Stars': 151, '1 Star': 42}"
Wisdom's Kiss,0547566875,9780547566870,0547566875,2011.0,Catherine Gilbert Murdock,314,"['Fantasy', 'Young Adult', 'Romance', 'Fairy Tales', 'Fiction', 'Adventure', 'Teen']",1605,3.1,"{'5 Stars': 201, '4 Stars': 354, '3 Stars': 588, '2 Stars': 322, '1 Star': 140}"
Dragon Rider,190444248,9781904442486,B00307G8D8,1997.0,Cornelia Funke,527,"['Fantasy', 'Dragons', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Adventure']",84954,4.0,"{'5 Stars': 31927, '4 Stars': 27943, '3 Stars': 19207, '2 Stars': 4535, '1 Star': 1342}"
The Sea of Trolls,0689867468,9780689867460,0689867468,2004.0,Nancy Farmer,459,"['Fantasy', 'Young Adult', 'Fiction', 'Mythology', 'Historical Fiction', 'Adventure', 'Middle Grade']",16199,4.03,"{'5 Stars': 5895, '4 Stars': 6065, '3 Stars': 3280, '2 Stars': 703, '1 Star': 256}"
The Secret Crusade,0441020992,9780441020997,0441020992,2011.0,Oliver Bowden,453,"['Fantasy', 'Historical Fiction', 'Fiction', 'Adventure', 'Video Games', 'Historical', 'Science Fiction']",9643,4.0,"{'5 Stars': 3606, '4 Stars': 3271, '3 Stars': 2086, '2 Stars': 530, '1 Star': 150}"
"Au Revoir, Crazy European Chick",0547577389,9780547577388,0547577389,2011.0,Joe Schreiber,190,"['Young Adult', 'Adventure', 'Contemporary', 'Mystery', 'Fiction', 'Teen', 'Realistic Fiction']",4978,3.59,"{'5 Stars': 1101, '4 Stars': 1702, '3 Stars': 1449, '2 Stars': 489, '1 Star': 237}"
Fall of the White Ship Avatar,0345329198,9780345329196,0345329198,1986.0,Brian Daley,356,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Fantasy', 'Adventure']",397,4.14,"{'5 Stars': 156, '4 Stars': 158, '3 Stars': 70, '2 Stars': 10, '1 Star': 3}"
The New Teen Titans Omnibus Vol. 1,140123108,9781401231088,140123108X,1982.0,Marv Wolfman,679,"['Comics', 'Dc Comics', 'Graphic Novels', 'Comic Book', 'Graphic Novels Comics', 'Superheroes', 'Adventure']",387,4.31,"{'5 Stars': 188, '4 Stars': 141, '3 Stars': 49, '2 Stars': 8, '1 Star': 1}"
H.I.V.E. Higher Institute of Villainous Education,1416935711,9781416935711,1416935711,2006.0,Mark Walden,320,"['Young Adult', 'Science Fiction', 'Adventure', 'Fiction', 'Fantasy', 'Middle Grade', 'Action']",15218,4.07,"{'5 Stars': 6307, '4 Stars': 5033, '3 Stars': 2864, '2 Stars': 693, '1 Star': 321}"
River of Blue Fire,0886778441,9780886778446,0886778441,1998.0,Tad Williams,675,"['Fantasy', 'Science Fiction', 'Fiction', 'Cyberpunk', 'Science Fiction Fantasy', 'Audiobook', 'Adventure']",16717,4.04,"{'5 Stars': 5913, '4 Stars': 6616, '3 Stars': 3277, '2 Stars': 742, '1 Star': 169}"
Mountain of Black Glass,0886779065,9780886779061,0886779065,1999.0,Tad Williams,749,"['Fantasy', 'Science Fiction', 'Fiction', 'Cyberpunk', 'Science Fiction Fantasy', 'Audiobook', 'Adventure']",16311,4.08,"{'5 Stars': 6143, '4 Stars': 6281, '3 Stars': 3060, '2 Stars': 642, '1 Star': 185}"
"The Lion, the Witch and the Wardrobe",isbn not found,isbn13 not found,B000QQKTGI,1950.0,C.S. Lewis,206,"['Classics', 'Middle Grade', 'Adventure', 'Childrens', 'Audiobook', 'Magic', 'Science Fiction Fantasy']",3022700,4.24,"{'5 Stars': 1487467, '4 Stars': 943478, '3 Stars': 457673, '2 Stars': 96313, '1 Star': 37769}"
Sea of Silver Light,0641645473,9780641645471,0641645473,2001.0,Tad Williams,688,"['Fantasy', 'Science Fiction', 'Fiction', 'Cyberpunk', 'Science Fiction Fantasy', 'Audiobook', 'Adventure']",14673,4.15,"{'5 Stars': 6267, '4 Stars': 5217, '3 Stars': 2466, '2 Stars': 564, '1 Star': 159}"
The Case of the Vanishing Boy,0671560069,9780671560065,0671560069,1979.0,Alexander Key,213,"['Science Fiction', 'Young Adult', 'Fantasy', 'Fiction', 'Adventure', 'Childrens', 'Middle Grade']",201,4.16,"{'5 Stars': 89, '4 Stars': 71, '3 Stars': 29, '2 Stars': 9, '1 Star': 3}"
Turn Right at Machu Picchu: Rediscovering the Lost City One Step at a Time,0525952241,9780525952244,0525952241,2011.0,Mark Adams,333,"['Travel', 'Nonfiction', 'History', 'Adventure', 'Memoir', 'Biography', 'Book Club']",20316,3.85,"{'5 Stars': 5028, '4 Stars': 8780, '3 Stars': 5245, '2 Stars': 949, '1 Star': 314}"
The Snail and the Whale,033398224,9780333982242,B005OQS7QO,2003.0,Julia Donaldson,32,"['Picture Books', 'Childrens', 'Animals', 'Friendship', 'Fiction', 'Adventure', 'Poetry']",10079,4.38,"{'5 Stars': 5685, '4 Stars': 2906, '3 Stars': 1229, '2 Stars': 192, '1 Star': 67}"
Stone of Farewell,0886774357,9780886774356,0886774357,1990.0,Tad Williams,589,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Young Adult']",51524,4.1,"{'5 Stars': 20022, '4 Stars': 19966, '3 Stars': 8923, '2 Stars': 1951, '1 Star': 662}"
Invasion,1401685099,9781401685096,B004GB0OPU,2010.0,Jon S. Lewis,337,"['Young Adult', 'Science Fiction', 'Fantasy', 'Aliens', 'Adventure', 'Christian Fiction', 'Fiction']",1524,3.7,"{'5 Stars': 401, '4 Stars': 526, '3 Stars': 397, '2 Stars': 143, '1 Star': 57}"
The Lost World,0812967259,9780812967258,0812967259,1912.0,Arthur Conan Doyle,272,"['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'Audiobook', 'Dinosaurs']",70770,3.93,"{'5 Stars': 21758, '4 Stars': 26915, '3 Stars': 18012, '2 Stars': 3364, '1 Star': 721}"
Froi of the Exiles,0670076082,9780670076086,0670076082,2011.0,Melina Marchetta,593,"['Fantasy', 'Young Adult', 'Romance', 'High Fantasy', 'Fiction', 'Young Adult Fantasy', 'Adventure']",17129,4.29,"{'5 Stars': 9050, '4 Stars': 5162, '3 Stars': 2034, '2 Stars': 569, '1 Star': 314}"
Quintana of Charyn,0670076244,9780670076246,0670076244,2012.0,Melina Marchetta,516,"['Fantasy', 'Young Adult', 'Romance', 'High Fantasy', 'Fiction', 'Young Adult Fantasy', 'Adventure']",14623,4.32,"{'5 Stars': 8196, '4 Stars': 4021, '3 Stars': 1608, '2 Stars': 460, '1 Star': 338}"
Cassidy Jones and the Secret Formula,isbn not found,isbn13 not found,asin not found,2010.0,Elise Stokes,314,"['Young Adult', 'Mystery', 'Science Fiction', 'Superheroes', 'Fantasy', 'Adventure', 'Paranormal']",1229,4.07,"{'5 Stars': 510, '4 Stars': 403, '3 Stars': 230, '2 Stars': 60, '1 Star': 26}"
Storybound,0062020528,9780062020529,0062020528,2012.0,Marissa Burt,403,"['Fantasy', 'Middle Grade', 'Young Adult', 'Fairy Tales', 'Fiction', 'Childrens', 'Adventure']",5398,3.87,"{'5 Stars': 1855, '4 Stars': 1693, '3 Stars': 1280, '2 Stars': 420, '1 Star': 150}"
The Measure of the Magic,0345484207,9780345484208,0345484207,2011.0,Terry Brooks,383,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Magic', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure']",9029,4.06,"{'5 Stars': 3330, '4 Stars': 3425, '3 Stars': 1851, '2 Stars': 345, '1 Star': 78}"
Boy Overboard,0754079090,9780754079095,0754079090,2002.0,Morris Gleitzman,224,"['Childrens', 'Fiction', 'School', 'Young Adult', 'Middle Grade', 'Read For School', 'Adventure']",3658,3.75,"{'5 Stars': 1027, '4 Stars': 1226, '3 Stars': 1002, '2 Stars': 277, '1 Star': 126}"
Trade Wind,0553253115,9780553253115,0553253115,1963.0,M.M. Kaye,553,"['Historical Fiction', 'Romance', 'Fiction', 'Historical', 'Historical Romance', 'Africa', 'Adventure']",3126,3.99,"{'5 Stars': 1129, '4 Stars': 1110, '3 Stars': 685, '2 Stars': 139, '1 Star': 63}"
Encrypted,isbn not found,isbn13 not found,B0DTRTVRQ5,2011.0,Lindsay Buroker,350,"['Fantasy', 'Steampunk', 'Romance', 'Science Fiction', 'Fiction', 'Adventure', 'Magic']",3585,4.22,"{'5 Stars': 1578, '4 Stars': 1346, '3 Stars': 549, '2 Stars': 86, '1 Star': 26}"
The Far Pavilions,031215125,9780312151256,B004Y6MW0M,1978.0,M.M. Kaye,958,"['Historical Fiction', 'Fiction', 'India', 'Romance', 'Historical', 'Classics', 'Adventure']",44773,4.2,"{'5 Stars': 20625, '4 Stars': 15078, '3 Stars': 7071, '2 Stars': 1458, '1 Star': 541}"
Swords Against Wizardry,0441791948,9780441791941,0441791948,1968.0,Fritz Leiber,188,"['Fantasy', 'Fiction', 'Sword and Sorcery', 'Short Stories', 'Science Fiction Fantasy', 'Adventure', 'Science Fiction']",4520,4.1,"{'5 Stars': 1581, '4 Stars': 1927, '3 Stars': 908, '2 Stars': 89, '1 Star': 15}"
Ingo,0007204884,9780007204885,0007204884,2005.0,Helen Dunmore,320,"['Fantasy', 'Mermaids', 'Young Adult', 'Fiction', 'Adventure', 'Middle Grade', 'Childrens']",10634,3.95,"{'5 Stars': 3828, '4 Stars': 3555, '3 Stars': 2361, '2 Stars': 678, '1 Star': 212}"
The Ladies of Mandrigyn,0345309197,9780345309198,0345309197,1984.0,Barbara Hambly,311,"['Fantasy', 'Fiction', 'Magic', 'Science Fiction Fantasy', 'Sword and Sorcery', 'Epic Fantasy', 'Adventure']",3410,3.98,"{'5 Stars': 1037, '4 Stars': 1439, '3 Stars': 787, '2 Stars': 116, '1 Star': 31}"
Ill Met in Lankhmar,1565048946,9781565048942,1565048946,1970.0,Fritz Leiber,494,"['Fantasy', 'Fiction', 'Sword and Sorcery', 'Short Stories', 'Science Fiction Fantasy', 'Adventure', 'Pulp']",2953,4.15,"{'5 Stars': 1193, '4 Stars': 1149, '3 Stars': 503, '2 Stars': 78, '1 Star': 30}"
