book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
The Day of the Scorpion,0226743411,9780226743417,0226743411,1968.0,Paul Scott,493,"['Historical Fiction', 'Fiction', 'India', 'Historical', '20th Century', 'Classics', 'Literature']",1729,4.29,"{'5 Stars': 838, '4 Stars': 623, '3 Stars': 221, '2 Stars': 28, '1 Star': 19}"
Pollyanna,0689849109,9780689849107,0689849109,1913.0,Eleanor H. Porter,304,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Audiobook']",90043,4.01,"{'5 Stars': 35298, '4 Stars': 28913, '3 Stars': 19482, '2 Stars': 4529, '1 Star': 1821}"
The Art of Love,0375761179,9780375761171,0375761179,,Ovid,199,"['Poetry', 'Classics', 'Philosophy', 'Nonfiction', 'Romance', 'Mythology', 'Literature']",7203,3.72,"{'5 Stars': 1943, '4 Stars': 2397, '3 Stars': 1994, '2 Stars': 624, '1 Star': 245}"
The Real Mother Goose,0590225170,9780590225175,0590225170,1916.0,Blanche Fisher Wright,128,"['Childrens', 'Poetry', 'Picture Books', 'Classics', 'Fiction', 'Nursery Rhymes', 'Fantasy']",36250,4.33,"{'5 Stars': 20459, '4 Stars': 9008, '3 Stars': 5345, '2 Stars': 995, '1 Star': 443}"
The Battle of Chibi,1453751858,9781453751855,1453751858,2010.0,Hock G. Tjoa,332,"['China', 'Classics', 'Adventure']",45,4.09,"{'5 Stars': 11, '4 Stars': 27, '3 Stars': 7, '2 Stars': 0, '1 Star': 0}"
Norstrilia,0345323009,9780345323002,0345323009,1975.0,Cordwainer Smith,277,"['Science Fiction', 'Fiction', 'Fantasy', 'Speculative Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Classics']",2816,3.99,"{'5 Stars': 1027, '4 Stars': 988, '3 Stars': 587, '2 Stars': 167, '1 Star': 47}"
No Exit and Three Other Plays,isbn not found,isbn13 not found,asin not found,1947.0,Jean-Paul Sartre,275,"['Plays', 'Philosophy', 'Fiction', 'Classics', 'Drama', 'France', 'Theatre']",29733,4.08,"{'5 Stars': 11292, '4 Stars': 11542, '3 Stars': 5399, '2 Stars': 1117, '1 Star': 383}"
Comet in Moominland,0713628278,9780713628272,0713628278,1946.0,Tove Jansson,192,"['Fantasy', 'Fiction', 'Childrens', 'Classics', 'Finnish Literature', 'Middle Grade', 'Adventure']",21457,4.24,"{'5 Stars': 9723, '4 Stars': 8127, '3 Stars': 2917, '2 Stars': 500, '1 Star': 190}"
A Strange Manuscript found in a Copper Cylinder,0773521674,9780773521674,0773521674,1888.0,James De Mille,460,"['Science Fiction', 'Fantasy', 'Fiction', 'Classics', 'Adventure', 'Canada', '19th Century']",956,3.29,"{'5 Stars': 121, '4 Stars': 268, '3 Stars': 374, '2 Stars': 151, '1 Star': 42}"
Basil of Baker Street,0671702874,9780671702878,0671702874,1958.0,Eve Titus,112,"['Mystery', 'Childrens', 'Fiction', 'Middle Grade', 'Animals', 'Classics', 'Audiobook']",2662,3.92,"{'5 Stars': 805, '4 Stars': 1004, '3 Stars': 707, '2 Stars': 120, '1 Star': 26}"
Friends And Heroes,1408451492,9781408451496,1408451492,1965.0,Olivia Manning,MP3 Book,"['Fiction', 'Historical Fiction', 'British Literature', 'Classics', 'Greece', 'War', 'Audiobook']",767,4.04,"{'5 Stars': 251, '4 Stars': 326, '3 Stars': 166, '2 Stars': 19, '1 Star': 5}"
"Tinker, Tailor, Soldier, Spy",isbn not found,isbn13 not found,asin not found,1974.0,John Le Carré,381,"['Fiction', 'Mystery', 'Thriller', 'Espionage', 'Classics', 'Mystery Thriller', 'Crime']",101502,4.06,"{'5 Stars': 40261, '4 Stars': 36722, '3 Stars': 17063, '2 Stars': 5198, '1 Star': 2258}"
The Horse Whisperer,0593038894,9780593038895,0593038894,1995.0,Nicholas Evans,352,"['Fiction', 'Romance', 'Animals', 'Horses', 'Contemporary', 'Drama', 'Classics']",60480,3.85,"{'5 Stars': 18184, '4 Stars': 21937, '3 Stars': 15010, '2 Stars': 4097, '1 Star': 1252}"
"The Lion, the Witch and the Wardrobe",isbn not found,isbn13 not found,B000QQKTGI,1950.0,C.S. Lewis,206,"['Classics', 'Middle Grade', 'Adventure', 'Childrens', 'Audiobook', 'Magic', 'Science Fiction Fantasy']",3022700,4.24,"{'5 Stars': 1487467, '4 Stars': 943478, '3 Stars': 457673, '2 Stars': 96313, '1 Star': 37769}"
Perelandra,0007157169,9780007157167,0007157169,1943.0,C.S. Lewis,314,"['Fiction', 'Science Fiction', 'Fantasy', 'Christian', 'Classics', 'Christian Fiction', 'Science Fiction Fantasy']",57805,4.01,"{'5 Stars': 22233, '4 Stars': 19320, '3 Stars': 11743, '2 Stars': 3550, '1 Star': 959}"
That Hideous Strength,0007157177,9780007157174,0007157177,1945.0,C.S. Lewis,534,"['Fiction', 'Science Fiction', 'Fantasy', 'Christian', 'Classics', 'Christian Fiction', 'Science Fiction Fantasy']",44076,3.93,"{'5 Stars': 15799, '4 Stars': 14370, '3 Stars': 9791, '2 Stars': 3104, '1 Star': 1012}"
Silence: A Fable,isbn not found,isbn13 not found,B004H8FZU6,1838.0,Edgar Allan Poe,4,"['Short Stories', 'Classics', 'Horror', 'Fiction', 'Poetry', 'Fantasy', 'Gothic']",1573,3.24,"{'5 Stars': 238, '4 Stars': 367, '3 Stars': 599, '2 Stars': 279, '1 Star': 90}"
The Secret of Shadow Ranch,000692526,9780006925262,000692526X,1931.0,Carolyn Keene,160,"['Mystery', 'Young Adult', 'Fiction', 'Childrens', 'Classics', 'Middle Grade', 'Mystery Thriller']",22075,3.95,"{'5 Stars': 7309, '4 Stars': 7524, '3 Stars': 6204, '2 Stars': 887, '1 Star': 151}"
The Reader,0375408266,9780375408267,0375408266,1995.0,Bernhard Schlink,216,"['Fiction', 'Historical Fiction', 'Classics', 'German Literature', 'Romance', 'Holocaust', 'Historical']",224291,3.78,"{'5 Stars': 55862, '4 Stars': 88633, '3 Stars': 59528, '2 Stars': 15916, '1 Star': 4352}"
The Cat That Walked by Himself: And Other Stories,0712358099,9780712358095,0712358099,2010.0,Rudyard Kipling,72,"['Classics', 'Fiction', 'Short Stories', 'Childrens', 'Cats', 'Animals', 'Fantasy']",876,3.89,"{'5 Stars': 278, '4 Stars': 311, '3 Stars': 214, '2 Stars': 59, '1 Star': 14}"
The Coming Race,143461672,9781434616722,143461672X,1871.0,Edward Bulwer-Lytton,148,"['Science Fiction', 'Fiction', 'Classics', 'Fantasy', '19th Century', 'Literature', 'Occult']",1709,3.25,"{'5 Stars': 262, '4 Stars': 430, '3 Stars': 600, '2 Stars': 315, '1 Star': 102}"
Nectar in a Sieve,0451528239,9780451528230,0451528239,1954.0,Kamala Markandaya,186,"['Fiction', 'Classics', 'India', 'Historical Fiction', 'School', 'Read For School', 'Indian Literature']",10662,3.69,"{'5 Stars': 2488, '4 Stars': 3943, '3 Stars': 2973, '2 Stars': 926, '1 Star': 332}"
The Lost World,0812967259,9780812967258,0812967259,1912.0,Arthur Conan Doyle,272,"['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'Audiobook', 'Dinosaurs']",70770,3.93,"{'5 Stars': 21758, '4 Stars': 26915, '3 Stars': 18012, '2 Stars': 3364, '1 Star': 721}"
Harrison Bergeron,isbn not found,isbn13 not found,B0DLTB6TVG,1961.0,Kurt Vonnegut Jr.,9,"['Short Stories', 'Fiction', 'Science Fiction', 'Classics', 'Dystopia', 'School', 'Read For School']",21654,4.14,"{'5 Stars': 9174, '4 Stars': 7796, '3 Stars': 3523, '2 Stars': 843, '1 Star': 318}"
The Haunter of the Dark,isbn not found,isbn13 not found,B0DN1F1N2Z,1935.0,H.P. Lovecraft,31,"['Horror', 'Short Stories', 'Fiction', 'Lovecraftian', 'Fantasy', 'Classics', 'Weird Fiction']",4498,3.94,"{'5 Stars': 1432, '4 Stars': 1685, '3 Stars': 1100, '2 Stars': 245, '1 Star': 36}"
Musashi,4770019572,9784770019578,4770019572,1935.0,Eiji Yoshikawa,970,"['Fiction', 'Historical Fiction', 'Japan', 'Classics', 'Japanese Literature', 'Historical', 'Novels']",22571,4.47,"{'5 Stars': 13867, '4 Stars': 6037, '3 Stars': 2116, '2 Stars': 421, '1 Star': 130}"
Musashi Book One: The Way of the Samurai,0671734830,9780671734831,0671734830,1935.0,Eiji Yoshikawa,341,"['Historical Fiction', 'Fiction', 'Japan', 'Historical', 'Classics', 'Japanese Literature', 'Literature']",1199,4.3,"{'5 Stars': 596, '4 Stars': 410, '3 Stars': 163, '2 Stars': 22, '1 Star': 8}"
Jane Eyre,0142437204,9780142437209,0142437204,1847.0,Charlotte Brontë,532,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', 'Historical']",2238810,4.15,"{'5 Stars': 1047292, '4 Stars': 696207, '3 Stars': 342662, '2 Stars': 99214, '1 Star': 53435}"
The Balloon Tree,1895565820,9781895565829,1895565820,1984.0,Phoebe Gilman,32,"['Picture Books', 'Childrens', 'Fantasy', 'Canada', 'Fiction', 'Fairy Tales', 'Classics']",1305,4.43,"{'5 Stars': 812, '4 Stars': 309, '3 Stars': 136, '2 Stars': 35, '1 Star': 13}"
The Far Pavilions,031215125,9780312151256,B004Y6MW0M,1978.0,M.M. Kaye,958,"['Historical Fiction', 'Fiction', 'India', 'Romance', 'Historical', 'Classics', 'Adventure']",44773,4.2,"{'5 Stars': 20625, '4 Stars': 15078, '3 Stars': 7071, '2 Stars': 1458, '1 Star': 541}"
Dark Ladies: Conjure Wife/Our Lady of Darkness,031286972,9780312869724,031286972X,1991.0,Fritz Leiber,352,"['Fantasy', 'Horror', 'Collections', 'Supernatural', 'Science Fiction', 'Classics', 'Novels']",347,3.95,"{'5 Stars': 107, '4 Stars': 136, '3 Stars': 88, '2 Stars': 13, '1 Star': 3}"
The Big Time,0312890788,9780312890780,0312890788,1958.0,Fritz Leiber,128,"['Science Fiction', 'Fiction', 'Time Travel', 'Hugo Awards', 'Classics', 'Audiobook', 'Fantasy']",4394,3.23,"{'5 Stars': 638, '4 Stars': 1164, '3 Stars': 1476, '2 Stars': 793, '1 Star': 323}"
