book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Marrow,0812566572,9780812566574,0812566572,2000.0,Robert Reed,512,"['Science Fiction', 'Fiction', 'Space Opera', 'Mystery', 'Science Fiction Fantasy', 'Space', 'Dystopia']",2377,3.86,"{'5 Stars': 685, '4 Stars': 928, '3 Stars': 552, '2 Stars': 164, '1 Star': 48}"
The Magic Goes Away,0441515460,9780441515462,0441515460,1978.0,Larry Niven,212,"['Fantasy', 'Science Fiction', 'Fiction', 'Novels', 'Science Fiction Fantasy', 'Adventure', 'Speculative Fiction']",1806,3.66,"{'5 Stars': 367, '4 Stars': 654, '3 Stars': 613, '2 Stars': 150, '1 Star': 22}"
Norstrilia,0345323009,9780345323002,0345323009,1975.0,Cordwainer Smith,277,"['Science Fiction', 'Fiction', 'Fantasy', 'Speculative Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Classics']",2816,3.99,"{'5 Stars': 1027, '4 Stars': 988, '3 Stars': 587, '2 Stars': 167, '1 Star': 47}"
Epic,0670061794,9780670061792,0670061794,2004.0,Conor Kostick,384,"['Fantasy', 'Science Fiction', 'Young Adult', 'Dystopia', 'Fiction', 'Adventure', 'Teen']",6775,3.96,"{'5 Stars': 2514, '4 Stars': 2268, '3 Stars': 1386, '2 Stars': 440, '1 Star': 167}"
"Dearly, Departed",0345523318,9780345523310,0345523318,2011.0,Lia Habel,470,"['Young Adult', 'Zombies', 'Steampunk', 'Romance', 'Fantasy', 'Paranormal', 'Dystopia']",10584,3.83,"{'5 Stars': 3399, '4 Stars': 3526, '3 Stars': 2455, '2 Stars': 836, '1 Star': 368}"
The Game-Players of Titan,0007115881,9780007115884,0007115881,1963.0,Philip K. Dick,223,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Novels', 'Speculative Fiction', 'Dystopia', 'Fantasy']",4923,3.65,"{'5 Stars': 815, '4 Stars': 1989, '3 Stars': 1740, '2 Stars': 341, '1 Star': 38}"
The Doomfarers of Coramonde,0595437451,9780595437450,0595437451,1977.0,Brian Daley,356,"['Fantasy', 'Fiction', 'Science Fiction', 'Audiobook', 'Speculative Fiction', 'Adult', 'Science Fiction Fantasy']",1105,3.86,"{'5 Stars': 317, '4 Stars': 410, '3 Stars': 297, '2 Stars': 63, '1 Star': 18}"
Soft Apocalypse,159780276,9781597802765,159780276X,2011.0,Will McIntosh,256,"['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Dystopia', 'Apocalyptic', 'Speculative Fiction', 'Survival']",2747,3.52,"{'5 Stars': 515, '4 Stars': 958, '3 Stars': 853, '2 Stars': 296, '1 Star': 125}"
Ruled Britannia,0451460847,9780451460844,0451460847,2002.0,Harry Turtledove,464,"['Alternate History', 'Historical Fiction', 'Fiction', 'Science Fiction', 'Fantasy', 'Historical', 'Speculative Fiction']",2193,3.71,"{'5 Stars': 539, '4 Stars': 809, '3 Stars': 576, '2 Stars': 208, '1 Star': 61}"
Krispos the Emperor,0345380460,9780345380463,0345380460,1994.0,Harry Turtledove,387,"['Fantasy', 'Fiction', 'Science Fiction', 'Epic Fantasy', 'Historical Fiction', 'Alternate History', 'Speculative Fiction']",442,3.78,"{'5 Stars': 102, '4 Stars': 179, '3 Stars': 127, '2 Stars': 31, '1 Star': 3}"
Swords of the Legion,0345330706,9780345330703,0345330706,1987.0,Harry Turtledove,394,"['Fantasy', 'Fiction', 'Alternate History', 'Science Fiction', 'Historical Fiction', 'Science Fiction Fantasy', 'Speculative Fiction']",1134,4.0,"{'5 Stars': 346, '4 Stars': 487, '3 Stars': 261, '2 Stars': 30, '1 Star': 10}"
Glow,0312590563,9780312590567,0312590563,2011.0,Amy Kathleen Ryan,307,"['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Space']",13653,3.53,"{'5 Stars': 2950, '4 Stars': 4373, '3 Stars': 4017, '2 Stars': 1602, '1 Star': 711}"
Software,9510183709,isbn13 not found,9510183709,1982.0,Rudy Rucker,208,"['Cyberpunk', 'Science Fiction', 'Fiction', 'Speculative Fiction', 'Robots', 'Science Fiction Fantasy', 'Fantasy']",4311,3.74,"{'5 Stars': 1033, '4 Stars': 1609, '3 Stars': 1251, '2 Stars': 331, '1 Star': 87}"
Harrison Bergeron,isbn not found,isbn13 not found,B0DLTB6TVG,1961.0,Kurt Vonnegut Jr.,9,"['Short Stories', 'Fiction', 'Science Fiction', 'Classics', 'Dystopia', 'School', 'Read For School']",21654,4.14,"{'5 Stars': 9174, '4 Stars': 7796, '3 Stars': 3523, '2 Stars': 843, '1 Star': 318}"
The Golden Torc,0330267191,9780330267199,0330267191,1982.0,Julian  May,384,"['Science Fiction', 'Fantasy', 'Fiction', 'Time Travel', 'Science Fiction Fantasy', 'Speculative Fiction', 'Novels']",7517,4.14,"{'5 Stars': 3100, '4 Stars': 2771, '3 Stars': 1317, '2 Stars': 259, '1 Star': 70}"
Outpost,0312650094,9780312650094,0312650094,2012.0,Ann Aguirre,317,"['Dystopia', 'Young Adult', 'Zombies', 'Post Apocalyptic', 'Science Fiction', 'Fantasy', 'Romance']",33314,4.1,"{'5 Stars': 12947, '4 Stars': 12676, '3 Stars': 6059, '2 Stars': 1205, '1 Star': 427}"
The Tripods Trilogy,0020425716,9780020425717,0020425716,1967.0,John Christopher,224,"['Science Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Dystopia', 'Fantasy', 'Aliens']",3000,4.2,"{'5 Stars': 1262, '4 Stars': 1209, '3 Stars': 433, '2 Stars': 72, '1 Star': 24}"
False Memory,1423149769,9781423149767,1423149769,2012.0,Dan Krokos,336,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fantasy', 'Romance', 'Mystery', 'Paranormal']",6146,3.74,"{'5 Stars': 1755, '4 Stars': 2025, '3 Stars': 1606, '2 Stars': 520, '1 Star': 240}"
Outpost,1444709038,9781444709032,1444709038,2011.0,Adam Baker,388,"['Horror', 'Zombies', 'Fiction', 'Post Apocalyptic', 'Science Fiction', 'Apocalyptic', 'Thriller']",2651,3.64,"{'5 Stars': 631, '4 Stars': 896, '3 Stars': 764, '2 Stars': 266, '1 Star': 94}"
The Bradbury Report,1602861315,9781602861312,B003Z0CR5I,2010.0,Steven Polansky,336,"['Science Fiction', 'Fiction', 'Dystopia', 'Science Fiction Fantasy', 'Speculative Fiction', 'Audiobook', 'Thriller']",348,3.2,"{'5 Stars': 42, '4 Stars': 106, '3 Stars': 106, '2 Stars': 69, '1 Star': 25}"
The Birthgrave,0860079422,9780860079422,0860079422,1975.0,Tanith Lee,408,"['Fantasy', 'Fiction', 'Science Fiction', 'Science Fiction Fantasy', 'Sword and Sorcery', 'Speculative Fiction', 'High Fantasy']",1720,3.78,"{'5 Stars': 497, '4 Stars': 593, '3 Stars': 434, '2 Stars': 139, '1 Star': 57}"
The Immortal Rules,0373210515,9780373210510,0373210515,2012.0,Julie Kagawa,485,"['Vampires', 'Young Adult', 'Fantasy', 'Paranormal', 'Dystopia', 'Romance', 'Urban Fantasy']",71966,4.07,"{'5 Stars': 30461, '4 Stars': 24014, '3 Stars': 11935, '2 Stars': 3497, '1 Star': 2059}"
MILA 2.0,0062090364,9780062090362,0062090364,2013.0,Debra Driza,470,"['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Thriller']",11772,3.69,"{'5 Stars': 3139, '4 Stars': 3840, '3 Stars': 3212, '2 Stars': 1144, '1 Star': 437}"
Smoketown,0978986156,9780978986155,0978986156,2011.0,Tenea D. Johnson,220,"['Fantasy', 'Science Fiction', 'LGBT', 'Fiction', 'Queer', 'Dystopia', 'Post Apocalyptic']",164,3.6,"{'5 Stars': 31, '4 Stars': 67, '3 Stars': 42, '2 Stars': 18, '1 Star': 6}"
Rainbows End,0812536363,9780812536362,0812536363,2006.0,Vernor Vinge,381,"['Science Fiction', 'Fiction', 'Hugo Awards', 'Cyberpunk', 'Science Fiction Fantasy', 'Speculative Fiction', 'Fantasy']",18742,3.77,"{'5 Stars': 5051, '4 Stars': 6846, '3 Stars': 4846, '2 Stars': 1520, '1 Star': 479}"
Flight in Yiktor,0312932456,9780312932459,0312932456,1986.0,Andre Norton,251,"['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Young Adult', 'Speculative Fiction']",518,3.78,"{'5 Stars': 132, '4 Stars': 184, '3 Stars': 164, '2 Stars': 34, '1 Star': 4}"
Forerunner Foray,0670323578,9780670323579,0670323578,1973.0,Andre Norton,286,"['Science Fiction', 'Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Young Adult', 'Speculative Fiction', 'Sci Fi Fantasy']",1024,3.89,"{'5 Stars': 285, '4 Stars': 393, '3 Stars': 301, '2 Stars': 41, '1 Star': 4}"
"A Long, Long Sleep",0763652601,9780763652609,0763652601,2011.0,Anna Sheehan,342,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fantasy', 'Romance', 'Retellings', 'Fairy Tales']",7511,3.81,"{'5 Stars': 2290, '4 Stars': 2598, '3 Stars': 1808, '2 Stars': 573, '1 Star': 242}"
A Quest for Simbilis,0586065490,9780586065495,0586065490,1974.0,Michael   Shea,204,"['Fantasy', 'Dying Earth', 'Science Fiction', 'Fiction', 'Sword and Sorcery', 'Speculative Fiction', 'Literature']",278,3.63,"{'5 Stars': 58, '4 Stars': 94, '3 Stars': 95, '2 Stars': 27, '1 Star': 4}"
The Third,1599554941,9781599554945,1599554941,2011.0,Abel Keogh,265,"['Dystopia', 'Science Fiction', 'Fiction', 'Young Adult', 'Adult Fiction', 'Romance', 'Speculative Fiction']",288,3.68,"{'5 Stars': 90, '4 Stars': 83, '3 Stars': 66, '2 Stars': 31, '1 Star': 18}"
The Testament of Jessie Lamb,1905207581,9781905207589,1905207581,2011.0,Jane Rogers,240,"['Fiction', 'Science Fiction', 'Dystopia', 'Young Adult', 'Speculative Fiction', 'Post Apocalyptic', 'Literature']",1945,3.11,"{'5 Stars': 183, '4 Stars': 483, '3 Stars': 762, '2 Stars': 395, '1 Star': 122}"
Winterlong,0061057304,9780061057304,0061057304,1990.0,Elizabeth Hand,349,"['Fantasy', 'Science Fiction', 'Fiction', 'Dystopia', 'Post Apocalyptic', 'Apocalyptic', 'Horror']",876,3.7,"{'5 Stars': 233, '4 Stars': 300, '3 Stars': 229, '2 Stars': 79, '1 Star': 35}"
