book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Blood Secret,0060000651,9780060000653,0060000651,2004.0,Kathryn Lasky,256,"['Historical Fiction', 'Young Adult', 'Historical', 'Fiction', 'Spain', 'Jewish', 'Religion']",298,3.39,"{'5 Stars': 53, '4 Stars': 82, '3 Stars': 102, '2 Stars': 51, '1 Star': 10}"
Wildflower Hill,1451623496,9781451623499,B006TQUQ8U,2010.0,Kimberley Freeman,524,"['Historical Fiction', 'Fiction', 'Romance', 'Australia', 'Historical', 'Chick Lit', 'Book Club']",13565,4.11,"{'5 Stars': 4900, '4 Stars': 5839, '3 Stars': 2328, '2 Stars': 382, '1 Star': 116}"
A Visit from Voltaire,1870015843,9781870015844,1870015843,2004.0,Dinah Lee Küng,360,"['Fiction', 'Historical Fiction', 'Humor', 'Book Club', 'Christmas', 'Historical']",129,3.58,"{'5 Stars': 36, '4 Stars': 37, '3 Stars': 30, '2 Stars': 18, '1 Star': 8}"
The Day of the Scorpion,0226743411,9780226743417,0226743411,1968.0,Paul Scott,493,"['Historical Fiction', 'Fiction', 'India', 'Historical', '20th Century', 'Classics', 'Literature']",1729,4.29,"{'5 Stars': 838, '4 Stars': 623, '3 Stars': 221, '2 Stars': 28, '1 Star': 19}"
Pollyanna,0689849109,9780689849107,0689849109,1913.0,Eleanor H. Porter,304,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Audiobook']",90043,4.01,"{'5 Stars': 35298, '4 Stars': 28913, '3 Stars': 19482, '2 Stars': 4529, '1 Star': 1821}"
Kanada,088776729,9780887767296,088776729X,2006.0,Eva Wiseman,247,"['Historical Fiction', 'Holocaust', 'Historical', 'Young Adult', 'War', 'Jewish', 'World War II']",159,4.06,"{'5 Stars': 61, '4 Stars': 61, '3 Stars': 28, '2 Stars': 4, '1 Star': 5}"
The Silent People,0330303287,9780330303286,0330303287,1962.0,Walter Macken,Paperback,"['Ireland', 'Historical Fiction', 'Irish Literature', 'Fiction', 'Historical', 'Literature', 'Modern']",540,4.26,"{'5 Stars': 252, '4 Stars': 200, '3 Stars': 70, '2 Stars': 15, '1 Star': 3}"
Clockwork Prince,1416975888,9781416975885,1416975888,2011.0,Cassandra Clare,498,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Urban Fantasy']",575189,4.42,"{'5 Stars': 337959, '4 Stars': 164442, '3 Stars': 55386, '2 Stars': 11474, '1 Star': 5928}"
Interred with Their Bones,0525949704,9780525949701,0525949704,2007.0,Jennifer Lee Carrell,432,"['Mystery', 'Fiction', 'Historical Fiction', 'Thriller', 'Mystery Thriller', 'Crime', 'Adventure']",7933,3.43,"{'5 Stars': 1330, '4 Stars': 2486, '3 Stars': 2702, '2 Stars': 1095, '1 Star': 320}"
Magdalena,1891386298,9781891386299,1891386298,2008.0,Cecilia Manguerra Brainard,164,"['Fiction', 'Historical Fiction', 'Romance']",163,4.02,"{'5 Stars': 85, '4 Stars': 30, '3 Stars': 24, '2 Stars': 15, '1 Star': 9}"
"Happy Birthday, Kit: A Springtime Story",isbn not found,isbn13 not found,asin not found,2001.0,Valerie Tripp,69,"['Historical Fiction', 'Childrens', 'Fiction', 'Historical', 'Middle Grade', 'Chapter Books', 'Juvenile']",2448,4.08,"{'5 Stars': 1001, '4 Stars': 764, '3 Stars': 579, '2 Stars': 88, '1 Star': 16}"
Assata: An Autobiography,1556520743,9781556520747,1556520743,1987.0,Assata Shakur,274,"['Nonfiction', 'Memoir', 'Biography', 'History', 'Race', 'Feminism', 'Politics']",29370,4.59,"{'5 Stars': 20729, '4 Stars': 6233, '3 Stars': 1736, '2 Stars': 411, '1 Star': 261}"
Pleasuring the Prince,0821777114,9780821777114,0821777114,2006.0,Patricia Grasso,326,"['Historical Romance', 'Historical', 'Romance', 'Historical Fiction', 'Russia', 'Paranormal', 'Regency Romance']",245,4.02,"{'5 Stars': 93, '4 Stars': 84, '3 Stars': 53, '2 Stars': 10, '1 Star': 5}"
A Book Dragon,0380707691,9780380707690,0380707691,1987.0,Donn Kushner,198,"['Fantasy', 'Dragons', 'Fiction', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Childrens']",296,4.05,"{'5 Stars': 127, '4 Stars': 92, '3 Stars': 50, '2 Stars': 19, '1 Star': 8}"
Scenes from Provincial Life,isbn not found,isbn13 not found,asin not found,1950.0,William   Cooper,236,"['Fiction', 'Novels', 'Historical Fiction', 'British Literature']",76,3.67,"{'5 Stars': 11, '4 Stars': 33, '3 Stars': 28, '2 Stars': 4, '1 Star': 0}"
The Sea of Trolls,0689867468,9780689867460,0689867468,2004.0,Nancy Farmer,459,"['Fantasy', 'Young Adult', 'Fiction', 'Mythology', 'Historical Fiction', 'Adventure', 'Middle Grade']",16199,4.03,"{'5 Stars': 5895, '4 Stars': 6065, '3 Stars': 3280, '2 Stars': 703, '1 Star': 256}"
The Kiss of a Stranger,isbn not found,isbn13 not found,asin not found,2008.0,Sarah M. Eden,252,"['Romance', 'Historical Fiction', 'Regency', 'Historical Romance', 'Historical', 'Clean Romance', 'Regency Romance']",13371,4.14,"{'5 Stars': 5395, '4 Stars': 5057, '3 Stars': 2353, '2 Stars': 466, '1 Star': 100}"
The Secret Crusade,0441020992,9780441020997,0441020992,2011.0,Oliver Bowden,453,"['Fantasy', 'Historical Fiction', 'Fiction', 'Adventure', 'Video Games', 'Historical', 'Science Fiction']",9643,4.0,"{'5 Stars': 3606, '4 Stars': 3271, '3 Stars': 2086, '2 Stars': 530, '1 Star': 150}"
Rules of Civility,isbn not found,isbn13 not found,asin not found,2011.0,Amor Towles,335,"['Fiction', 'Historical Fiction', 'Book Club', 'Historical', 'Audiobook', 'New York', 'Literary Fiction']",259381,4.09,"{'5 Stars': 93690, '4 Stars': 108275, '3 Stars': 45839, '2 Stars': 9074, '1 Star': 2503}"
Why Civil Resistance Works: The Strategic Logic of Nonviolent Conflict,0231156820,9780231156820,0231156820,2011.0,Erica Chenoweth,320,"['Politics', 'Nonfiction', 'History', 'Activism', 'Social Justice', 'Sociology', 'Political Science']",584,4.02,"{'5 Stars': 196, '4 Stars': 247, '3 Stars': 104, '2 Stars': 29, '1 Star': 8}"
Flags of Our Fathers,0553384155,9780553384154,0553384155,2000.0,James D. Bradley,382,"['History', 'Nonfiction', 'Military Fiction', 'War', 'World War II', 'Biography', 'Military History']",62688,4.22,"{'5 Stars': 29518, '4 Stars': 21546, '3 Stars': 8686, '2 Stars': 1863, '1 Star': 1075}"
Friends And Heroes,1408451492,9781408451496,1408451492,1965.0,Olivia Manning,MP3 Book,"['Fiction', 'Historical Fiction', 'British Literature', 'Classics', 'Greece', 'War', 'Audiobook']",767,4.04,"{'5 Stars': 251, '4 Stars': 326, '3 Stars': 166, '2 Stars': 19, '1 Star': 5}"
"Just a Few Words, Mr. Lincoln: The Story of the Gettysburg Address",0448401703,9780448401706,0448401703,1993.0,Jean Fritz,48,"['History', 'Nonfiction', 'Picture Books', 'Biography', 'Childrens', 'American History', 'Presidents']",188,4.07,"{'5 Stars': 67, '4 Stars': 76, '3 Stars': 39, '2 Stars': 4, '1 Star': 2}"
Winds of the Storm,006057531,9780060575311,006057531X,2006.0,Beverly Jenkins,384,"['Romance', 'Historical Romance', 'Historical Fiction', 'Historical', 'Fiction', 'Adult', 'African American Romance']",1629,4.48,"{'5 Stars': 989, '4 Stars': 464, '3 Stars': 152, '2 Stars': 22, '1 Star': 2}"
The Titans,0451213475,9780451213471,0451213475,1976.0,John Jakes,560,"['Historical Fiction', 'Fiction', 'Historical', 'Civil War', 'War', 'American History', 'Audiobook']",5648,4.16,"{'5 Stars': 2226, '4 Stars': 2272, '3 Stars': 1018, '2 Stars': 106, '1 Star': 26}"
Legacy,0373210345,9780373210343,0373210345,2008.0,Cayla Kluver,496,"['Fantasy', 'Young Adult', 'Romance', 'Historical Fiction', 'Historical', 'Fiction', 'Teen']",7003,3.65,"{'5 Stars': 1953, '4 Stars': 2141, '3 Stars': 1824, '2 Stars': 696, '1 Star': 389}"
