book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Clockwork Prince,1416975888,9781416975885,1416975888,2011.0,Cassandra Clare,498,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Urban Fantasy']",575189,4.42,"{'5 Stars': 337959, '4 Stars': 164442, '3 Stars': 55386, '2 Stars': 11474, '1 Star': 5928}"
Inferno,0671826581,9780671826581,0671826581,1975.0,Larry Niven,237,"['Fantasy', 'Science Fiction', 'Fiction', 'Horror', 'Audiobook', 'Religion', 'Science Fiction Fantasy']",6170,3.83,"{'5 Stars': 1695, '4 Stars': 2306, '3 Stars': 1660, '2 Stars': 414, '1 Star': 95}"
Pleasuring the Prince,0821777114,9780821777114,0821777114,2006.0,Patricia Grasso,326,"['Historical Romance', 'Historical', 'Romance', 'Historical Fiction', 'Russia', 'Paranormal', 'Regency Romance']",245,4.02,"{'5 Stars': 93, '4 Stars': 84, '3 Stars': 53, '2 Stars': 10, '1 Star': 5}"
Discovery,1926996372,9781926996370,B005FMB6XS,2011.0,Paula Kennedy,188,"['Vampires', 'Young Adult', 'Paranormal Romance', 'Angels', 'Romance', 'Paranormal', 'Fantasy']",111,3.91,"{'5 Stars': 47, '4 Stars': 29, '3 Stars': 19, '2 Stars': 10, '1 Star': 6}"
The Endlands,0976351048,9780976351047,0976351048,2011.0,Vincent Hobbes,320,"['Horror', 'Short Stories', 'Anthologies', 'Fantasy', 'Paranormal', 'Fiction', 'Science Fiction']",135,3.93,"{'5 Stars': 49, '4 Stars': 48, '3 Stars': 24, '2 Stars': 8, '1 Star': 6}"
"Dearly, Departed",0345523318,9780345523310,0345523318,2011.0,Lia Habel,470,"['Young Adult', 'Zombies', 'Steampunk', 'Romance', 'Fantasy', 'Paranormal', 'Dystopia']",10584,3.83,"{'5 Stars': 3399, '4 Stars': 3526, '3 Stars': 2455, '2 Stars': 836, '1 Star': 368}"
Velveteen & Mandala,1935654306,9781935654308,1935654306,2009.0,Jiro Matsumoto,344,"['Manga', 'Graphic Novels', 'Comics', 'Seinen', 'Horror', 'Zombies', 'Japan']",204,3.08,"{'5 Stars': 21, '4 Stars': 57, '3 Stars': 63, '2 Stars': 44, '1 Star': 19}"
A Touch of Crimson,0451234995,9780451234995,0451234995,2011.0,Sylvia Day,344,"['Paranormal', 'Paranormal Romance', 'Romance', 'Angels', 'Fantasy', 'Vampires', 'Urban Fantasy']",9899,3.95,"{'5 Stars': 3716, '4 Stars': 3211, '3 Stars': 2072, '2 Stars': 602, '1 Star': 298}"
Forever Broken,1419930397,9781419930393,B004J4VVS8,2010.0,Evangeline Anderson,171,"['M M Romance', 'Vampires', 'Paranormal', 'Shapeshifters', 'Romance', 'Werewolves', 'Fantasy']",997,3.67,"{'5 Stars': 225, '4 Stars': 365, '3 Stars': 278, '2 Stars': 108, '1 Star': 21}"
Ada: Legend of a Healer,0615412580,9780615412580,0615412580,2011.0,R.A. McDonald,260,"['Fantasy', 'Young Adult', 'Fiction', 'Paranormal', 'Supernatural', 'Suspense', 'Coming Of Age']",182,3.92,"{'5 Stars': 68, '4 Stars': 62, '3 Stars': 29, '2 Stars': 16, '1 Star': 7}"
