book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
The 12 Week Year,isbn not found,isbn13 not found,B0DM8VNDGW,2009.0,Brian P. Moran,208,"['Nonfiction', 'Business', 'Productivity', 'Self Help', 'Personal Development', 'Audiobook', 'Leadership']",17374,3.86,"{'5 Stars': 5359, '4 Stars': 6115, '3 Stars': 4374, '2 Stars': 1213, '1 Star': 313}"
The Art of Love,0375761179,9780375761171,0375761179,,Ovid,199,"['Poetry', 'Classics', 'Philosophy', 'Nonfiction', 'Romance', 'Mythology', 'Literature']",7203,3.72,"{'5 Stars': 1943, '4 Stars': 2397, '3 Stars': 1994, '2 Stars': 624, '1 Star': 245}"
My Sergei: A Love Story,044652087,9780446520874,044652087X,1996.0,Ekaterina Gordeeva,292,"['Nonfiction', 'Biography', 'Memoir', 'Sports', 'Romance', 'Biography Memoir', 'Figure Skating']",5315,4.14,"{'5 Stars': 2250, '4 Stars': 1836, '3 Stars': 976, '2 Stars': 206, '1 Star': 47}"
Assata: An Autobiography,1556520743,9781556520747,1556520743,1987.0,Assata Shakur,274,"['Nonfiction', 'Memoir', 'Biography', 'History', 'Race', 'Feminism', 'Politics']",29370,4.59,"{'5 Stars': 20729, '4 Stars': 6233, '3 Stars': 1736, '2 Stars': 411, '1 Star': 261}"
Small Giants: Companies That Choose to Be Great Instead of Big,1591841496,9781591841494,1591841496,2005.0,Bo Burlingham,224,"['Business', 'Nonfiction', 'Entrepreneurship', 'Management', 'Leadership', 'Buisness', 'Self Help']",5390,3.85,"{'5 Stars': 1698, '4 Stars': 1889, '3 Stars': 1269, '2 Stars': 389, '1 Star': 145}"
Think and Grow Rich,1585424331,9781585424337,1585424331,1937.0,Napoleon Hill,320,"['Self Help', 'Business', 'Nonfiction', 'Finance', 'Personal Development', 'Money', 'Psychology']",364889,4.17,"{'5 Stars': 183865, '4 Stars': 98530, '3 Stars': 53876, '2 Stars': 18059, '1 Star': 10559}"
Why Civil Resistance Works: The Strategic Logic of Nonviolent Conflict,0231156820,9780231156820,0231156820,2011.0,Erica Chenoweth,320,"['Politics', 'Nonfiction', 'History', 'Activism', 'Social Justice', 'Sociology', 'Political Science']",584,4.02,"{'5 Stars': 196, '4 Stars': 247, '3 Stars': 104, '2 Stars': 29, '1 Star': 8}"
Flags of Our Fathers,0553384155,9780553384154,0553384155,2000.0,James D. Bradley,382,"['History', 'Nonfiction', 'Military Fiction', 'War', 'World War II', 'Biography', 'Military History']",62688,4.22,"{'5 Stars': 29518, '4 Stars': 21546, '3 Stars': 8686, '2 Stars': 1863, '1 Star': 1075}"
"Just a Few Words, Mr. Lincoln: The Story of the Gettysburg Address",0448401703,9780448401706,0448401703,1993.0,Jean Fritz,48,"['History', 'Nonfiction', 'Picture Books', 'Biography', 'Childrens', 'American History', 'Presidents']",188,4.07,"{'5 Stars': 67, '4 Stars': 76, '3 Stars': 39, '2 Stars': 4, '1 Star': 2}"
Inside Scientology: The Story of America's Most Secretive Religion,0618883029,9780618883028,0618883029,2011.0,Janet Reitman,444,"['Nonfiction', 'Religion', 'Cults', 'History', 'Audiobook', 'True Crime', 'Biography']",9514,3.87,"{'5 Stars': 2518, '4 Stars': 4057, '3 Stars': 2294, '2 Stars': 464, '1 Star': 181}"
