book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Dykes to Watch Out For: The Sequel,1563410087,9781563410086,1563410087,1992.0,Alison Bechdel,133,"['Queer', 'Comics', 'Graphic Novels', 'Fiction', 'Humor', 'LGBT', 'Lesbian']",588,4.22,"{'5 Stars': 278, '4 Stars': 185, '3 Stars': 106, '2 Stars': 15, '1 Star': 4}"
Witch Baby,1904233058,9781904233053,1904233058,1991.0,Francesca Lia Block,Paperback,"['Young Adult', 'Fiction', 'Fantasy', 'Magical Realism', 'Teen', 'LGBT', 'Queer']",3896,4.18,"{'5 Stars': 1801, '4 Stars': 1231, '3 Stars': 676, '2 Stars': 135, '1 Star': 53}"
Such a Pretty Face,1933110848,9781933110844,1933110848,2007.0,Gabrielle Goldsby,251,"['Lesbian', 'Lesbian Romance', 'Fiction', 'LGBT', 'Lesbian Fiction', 'Queer', 'Romance']",223,3.79,"{'5 Stars': 53, '4 Stars': 95, '3 Stars': 55, '2 Stars': 15, '1 Star': 5}"
Junk,1615817778,9781615817771,B004H1TDME,2010.0,G.R. Richards,49,"['Romance', 'M M Romance', 'LGBT', 'Gay', 'Transgender']",30,3.13,"{'5 Stars': 4, '4 Stars': 4, '3 Stars': 16, '2 Stars': 4, '1 Star': 2}"
Alternatives to Sex,0743453190,9780743453196,0743453190,2006.0,Stephen McCauley,304,"['Fiction', 'LGBT', 'Gay', 'Contemporary', 'Gay Fiction', 'Book Club', 'Novels']",858,3.42,"{'5 Stars': 108, '4 Stars': 295, '3 Stars': 331, '2 Stars': 97, '1 Star': 27}"
Shaken and Stirred,1932859799,9781932859799,1932859799,2011.0,Joan Opyr,304,"['Lesbian', 'Romance', 'LGBT', 'Fiction']",83,4.02,"{'5 Stars': 32, '4 Stars': 27, '3 Stars': 19, '2 Stars': 4, '1 Star': 1}"
Cracks,1590512057,9781590512050,1590512057,1999.0,Sheila Kohler,176,"['Fiction', 'Mystery', 'LGBT', 'Coming Of Age', 'Historical Fiction', 'Queer', 'Dark Academia']",1067,3.37,"{'5 Stars': 182, '4 Stars': 329, '3 Stars': 315, '2 Stars': 180, '1 Star': 61}"
The Intersection of Law and Desire,1602823618,9781602823617,B0044440VS,1995.0,J.M. Redmann,177,"['Mystery', 'Lesbian', 'LGBT', 'Crime', 'Lesbian Fiction', 'Fiction', 'Mystery Thriller']",750,4.34,"{'5 Stars': 371, '4 Stars': 285, '3 Stars': 75, '2 Stars': 14, '1 Star': 5}"
Lady Knight,isbn not found,isbn13 not found,B0046W6TKI,2007.0,L.-J. Baker,323,"['Fantasy', 'LGBT', 'Lesbian', 'Romance', 'Queer', 'Fiction', 'Lesbian Fiction']",832,3.88,"{'5 Stars': 275, '4 Stars': 284, '3 Stars': 193, '2 Stars': 62, '1 Star': 18}"
Fires of Aggar,isbn not found,isbn13 not found,B004GNFUV6,1994.0,Chris Anne Wolfe,275,"['Fantasy', 'Lesbian', 'LGBT', 'Romance', 'Lesbian Romance', 'Audiobook', 'Science Fiction']",218,4.05,"{'5 Stars': 81, '4 Stars': 76, '3 Stars': 53, '2 Stars': 6, '1 Star': 2}"
