book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Harry Potter and the Methods of Rationality,isbn not found,isbn13 not found,B0DLT9CTJ8,2015.0,Eliezer Yudkowsky,2184,"['Fantasy', 'Fiction', 'Fan Fiction', 'Philosophy', 'Science Fiction', 'Young Adult', 'Humor']",17965,4.39,"{'5 Stars': 11456, '4 Stars': 3795, '3 Stars': 1524, '2 Stars': 647, '1 Star': 543}"
The Blood of Ten Chiefs,0812530438,9780812530438,0812530438,1986.0,Richard Pini,320,"['Fantasy', 'Short Stories', 'Fiction', 'Anthologies', 'Science Fiction Fantasy', 'Comics', 'Science Fiction']",960,4.05,"{'5 Stars': 375, '4 Stars': 318, '3 Stars': 219, '2 Stars': 37, '1 Star': 11}"
Marrow,0812566572,9780812566574,0812566572,2000.0,Robert Reed,512,"['Science Fiction', 'Fiction', 'Space Opera', 'Mystery', 'Science Fiction Fantasy', 'Space', 'Dystopia']",2377,3.86,"{'5 Stars': 685, '4 Stars': 928, '3 Stars': 552, '2 Stars': 164, '1 Star': 48}"
The Magic Goes Away,0441515460,9780441515462,0441515460,1978.0,Larry Niven,212,"['Fantasy', 'Science Fiction', 'Fiction', 'Novels', 'Science Fiction Fantasy', 'Adventure', 'Speculative Fiction']",1806,3.66,"{'5 Stars': 367, '4 Stars': 654, '3 Stars': 613, '2 Stars': 150, '1 Star': 22}"
The Paradox Men,0450029964,9780450029967,0450029964,1949.0,Charles L. Harness,159,"['Science Fiction', 'Fiction', 'Time Travel', 'Space Opera', 'Science Fiction Fantasy', 'Novels', 'Adventure']",395,3.64,"{'5 Stars': 77, '4 Stars': 152, '3 Stars': 119, '2 Stars': 39, '1 Star': 8}"
Norstrilia,0345323009,9780345323002,0345323009,1975.0,Cordwainer Smith,277,"['Science Fiction', 'Fiction', 'Fantasy', 'Speculative Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Classics']",2816,3.99,"{'5 Stars': 1027, '4 Stars': 988, '3 Stars': 587, '2 Stars': 167, '1 Star': 47}"
Protector,0345353129,9780345353122,0345353129,1973.0,Larry Niven,218,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook', 'Space', 'Novels']",10966,4.06,"{'5 Stars': 3933, '4 Stars': 4292, '3 Stars': 2310, '2 Stars': 355, '1 Star': 76}"
The Magic Goes Away Collection: The Magic Goes Away/The Magic May Return/More Magic,0743416937,9780743416931,0743416937,2005.0,Larry Niven,368,"['Fantasy', 'Science Fiction', 'Magic']",332,3.9,"{'5 Stars': 91, '4 Stars': 139, '3 Stars': 83, '2 Stars': 17, '1 Star': 2}"
Fallen Angels,0743435826,9780743435826,0743435826,1991.0,Larry Niven,368,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Fantasy', 'Adventure', 'Space', 'Technology']",2386,3.55,"{'5 Stars': 481, '4 Stars': 764, '3 Stars': 811, '2 Stars': 244, '1 Star': 86}"
The Mote in God's Eye,156865054,9781568650548,156865054X,1974.0,Larry Niven,596,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook', 'Aliens', 'Fantasy']",71966,4.07,"{'5 Stars': 27195, '4 Stars': 27369, '3 Stars': 13658, '2 Stars': 2834, '1 Star': 910}"
Inferno,0671826581,9780671826581,0671826581,1975.0,Larry Niven,237,"['Fantasy', 'Science Fiction', 'Fiction', 'Horror', 'Audiobook', 'Religion', 'Science Fiction Fantasy']",6170,3.83,"{'5 Stars': 1695, '4 Stars': 2306, '3 Stars': 1660, '2 Stars': 414, '1 Star': 95}"
