book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Journal 64,8756795459,9788756795456,8756795459,2010.0,Jussi Adler-Olsen,461,"['Mystery', 'Crime', 'Thriller', 'Fiction', 'Audiobook', 'Mystery Thriller', 'Scandinavian Literature']",26995,4.06,"{'5 Stars': 8590, '4 Stars': 12693, '3 Stars': 4766, '2 Stars': 709, '1 Star': 237}"
Iron House,0312380348,9780312380342,0312380348,2012.0,John Hart,421,"['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Mystery Thriller', 'Crime', 'Audiobook']",17563,4.09,"{'5 Stars': 6512, '4 Stars': 7329, '3 Stars': 2798, '2 Stars': 643, '1 Star': 281}"
Interred with Their Bones,0525949704,9780525949701,0525949704,2007.0,Jennifer Lee Carrell,432,"['Mystery', 'Fiction', 'Historical Fiction', 'Thriller', 'Mystery Thriller', 'Crime', 'Adventure']",7933,3.43,"{'5 Stars': 1330, '4 Stars': 2486, '3 Stars': 2702, '2 Stars': 1095, '1 Star': 320}"
City Primeval: High Noon in Detoit,0380569523,9780380569526,0380569523,1980.0,Elmore Leonard,222,"['Fiction', 'Crime', 'Mystery', 'Thriller', 'Noir', 'Mystery Thriller', 'Audiobook']",5048,3.94,"{'5 Stars': 1403, '4 Stars': 2204, '3 Stars': 1227, '2 Stars': 167, '1 Star': 47}"
"Tinker, Tailor, Soldier, Spy",isbn not found,isbn13 not found,asin not found,1974.0,John Le Carré,381,"['Fiction', 'Mystery', 'Thriller', 'Espionage', 'Classics', 'Mystery Thriller', 'Crime']",101502,4.06,"{'5 Stars': 40261, '4 Stars': 36722, '3 Stars': 17063, '2 Stars': 5198, '1 Star': 2258}"
Snake Skin,isbn not found,isbn13 not found,B0DLT95BTT,2010.0,C.J. Lyons,392,"['Mystery', 'Thriller', 'Mystery Thriller', 'Fiction', 'Crime', 'Suspense', 'Romantic Suspense']",4232,3.88,"{'5 Stars': 1245, '4 Stars': 1641, '3 Stars': 1030, '2 Stars': 239, '1 Star': 77}"
Creep,1451625847,9781451625844,1451625847,2011.0,Jennifer Hillier,357,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Crime']",32217,3.92,"{'5 Stars': 8923, '4 Stars': 14064, '3 Stars': 7396, '2 Stars': 1430, '1 Star': 404}"
The Intersection of Law and Desire,1602823618,9781602823617,B0044440VS,1995.0,J.M. Redmann,177,"['Mystery', 'Lesbian', 'LGBT', 'Crime', 'Lesbian Fiction', 'Fiction', 'Mystery Thriller']",750,4.34,"{'5 Stars': 371, '4 Stars': 285, '3 Stars': 75, '2 Stars': 14, '1 Star': 5}"
White Jazz,0375727361,9780375727368,0375727361,1992.0,James Ellroy,354,"['Crime', 'Fiction', 'Mystery', 'Noir', 'Thriller', 'Detective', 'Historical Fiction']",9549,3.92,"{'5 Stars': 2766, '4 Stars': 4016, '3 Stars': 2155, '2 Stars': 480, '1 Star': 132}"
The Secret of Shadow Ranch,000692526,9780006925262,000692526X,1931.0,Carolyn Keene,160,"['Mystery', 'Young Adult', 'Fiction', 'Childrens', 'Classics', 'Middle Grade', 'Mystery Thriller']",22075,3.95,"{'5 Stars': 7309, '4 Stars': 7524, '3 Stars': 6204, '2 Stars': 887, '1 Star': 151}"
The Devil All the Time,038553504,9780385535045,038553504X,2011.0,Donald Ray Pollock,261,"['Horror', 'Fiction', 'Thriller', 'Historical Fiction', 'Crime', 'Mystery', 'Southern Gothic']",38815,4.14,"{'5 Stars': 15323, '4 Stars': 15833, '3 Stars': 5804, '2 Stars': 1398, '1 Star': 457}"
Black Orchid Blues,1936070901,9781936070909,1936070901,2011.0,Persia Walker,320,"['Mystery', 'Historical Fiction', 'Fiction', 'African American', 'Historical', 'Crime', 'Mystery Thriller']",322,3.86,"{'5 Stars': 88, '4 Stars': 127, '3 Stars': 86, '2 Stars': 15, '1 Star': 6}"
